Country Name,Year,Foreign Investment,GNI per Capita,Unemployment Rate,Labor Force participation rate,Economic Index
Lebanon,2023,0.2969436489246312,0.9320584074298065,0.3074422353573347,0.24787864593654851,0.4838108507232092
Syrian Arab Republic,2023,0.29708535337776276,1.0,0.35161203653949485,0.10706757706235248,0.4807996434423478
Qatar,2022,0.2963881065442334,2.538667588787543e-06,0.0008060182697474474,0.9999999999999999,0.22947887633426822
Qatar,2023,0.2958604341371872,2.837966150940467e-06,0.0008060182697474474,0.9995496063559549,0.22933618001403572
Qatar,2017,0.2972606232752054,2.175284765121014e-06,0.0010746910263299304,0.9986127875763416,0.22923476927990546
Qatar,2018,0.2942186695636916,2.2644299110254136e-06,0.0002686727565824822,0.9987028663051506,0.22910983788103828
Qatar,2016,0.2970572467908122,2.470645188298242e-06,0.0013433637829124126,0.9981984254238202,0.22907797232985694
Qatar,2019,0.2936180239880225,2.3464148042467293e-06,0.0,0.9974417641018251,0.2288513284265694
Qatar,2015,0.29734202655717107,2.8716193385509634e-06,0.0018807092960773778,0.9945772605256994,0.2282749487113108
Qatar,2020,0.29398104574384354,2.061078734825819e-06,0.0010746910263299304,0.9915325994919558,0.22749071680687696
Qatar,2014,0.2973127846015135,3.3037405879751016e-06,0.0026867275658248257,0.9850829625092329,0.22621217731912696
Qatar,2021,0.2952666380286091,2.3918824087843144e-06,0.0010746910263299304,0.9781649161367033,0.22494590476614001
Qatar,2009,0.2993976701836425,2.2501094056592453e-06,0.005642127888232132,0.980488947339975,0.22491025596341568
Qatar,2010,0.29810177766952795,2.6091960777159233e-06,0.009403546480386889,0.9816960023060152,0.22426997353011732
Qatar,2013,0.2955092672282544,3.45983409646634e-06,0.004836109618484687,0.9769578611706632,0.22397700695030937
Qatar,2008,0.2998226664451116,2.358229221173818e-06,0.005642127888232132,0.9733186805267801,0.22351875628683135
Qatar,2011,0.2972151006631547,2.997639785773247e-06,0.012358946802794198,0.9798223647467884,0.22321569247500722
Qatar,2012,0.296694751917075,3.320925194414504e-06,0.010209564750134336,0.9764894517808563,0.22292711306044913
Qatar,2007,0.30126342717454546,2.088645707655694e-06,0.011284255776464266,0.9595006035274828,0.2197706565905121
Qatar,2006,0.29643733019733204,1.906417276871198e-06,0.020687802256851157,0.9327292053254542,0.21205296684209227
Qatar,2003,0.29639968224941504,9.999292871927241e-07,0.020687802256851157,0.9162267822076492,0.2087482641797447
Qatar,2002,0.2962949550633735,9.104261286541703e-07,0.020687802256851157,0.9112184048858701,0.2077360712452055
Qatar,2001,0.29633163972278725,8.209229701156163e-07,0.020687802256851157,0.908840326445313,0.20726407927145618
Qatar,2005,0.29665259264626936,1.4302604734460913e-06,0.020687802256851157,0.9084439800385534,0.20721720995120413
Qatar,2000,0.2963321542150282,6.966925860641036e-07,0.020687802256851157,0.9051651143099068,0.206529026178407
Qatar,2004,0.2967350640657461,1.25519229534468e-06,0.020687802256851157,0.9033995712252506,0.2062164877964022
Netherlands,2007,1.0,1.7349292251113289e-06,0.10889306824288016,0.6345505972219719,0.20513237326043093
United Arab Emirates,2019,0.31666943718986484,1.6078347399865823e-06,0.059940891993551855,0.8539283333633595,0.19046523591031803
United Arab Emirates,2016,0.31138119379102597,1.5963783356936475e-06,0.041375604513702306,0.8356603671608985,0.1899958700977097
United Arab Emirates,2018,0.3107750493788751,1.5469725921803656e-06,0.057388500806018275,0.8474606806348749,0.18909271438995495
United Arab Emirates,2015,0.31232113246098475,1.7309910861356325e-06,0.04548629768941429,0.8276974075341846,0.18767520071059562
United Arab Emirates,2017,0.30979757261549234,1.476086090617831e-06,0.06346050510478238,0.841173185364008,0.1865230313564397
United Arab Emirates,2014,0.30756898589220827,1.8555794828212994e-06,0.051101558301988176,0.8219503846361719,0.184927591645799
Iceland,2001,0.29647186567698686,1.095876673146054e-06,0.047662547017732405,0.8216981641955067,0.18445485794159014
Iceland,2000,0.2964639209435001,1.1302458860248587e-06,0.049328318108543795,0.8232475183310212,0.1844307972617885
United Arab Emirates,2023,0.31772612502638914,1.7492497304774976e-06,0.05510478237506716,0.8176806528906263,0.184288661230616
United Arab Emirates,2013,0.3047808507347968,1.8616656976019212e-06,0.05443310048361096,0.8159511412974937,0.18278262406910503
Iceland,2007,0.30290503127678503,2.253331519366633e-06,0.057791509940891994,0.8107265750265732,0.18087864281057445
United Arab Emirates,2012,0.2987469787101763,1.7488917178433433e-06,0.05983342289091886,0.8108707009926673,0.18008302793722628
United Arab Emirates,2022,0.3201283386169833,1.6436360034020038e-06,0.07447608812466415,0.8138432990433638,0.17988709786343998
United Arab Emirates,2007,0.3102845026077318,1.5487626553511367e-06,0.07619559376679204,0.8157169366025906,0.1789334932092606
United Arab Emirates,2008,0.3114856207662948,1.6013905125718065e-06,0.0731058570660935,0.8112130001621417,0.17877079139109542
United Arab Emirates,2006,0.3067595215838537,1.486110444374149e-06,0.07692101020956475,0.813735204568793,0.1780395340854532
