date,location_key,inc_case,inc_hosp,inc_death,sni_covid19_vaccination,liberalism,children,adult,elderly,new_persons_vaccinated,stringency_index,stringency_category,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,population,PC1,PC2,PC3
2021-01,Alabama,112124.0,1.3711547777748676,1.5841117998311245,0.0325680013610015,0.0,-0.231950678974286,-0.237370425926358,-0.1990796089045271,-0.1117498501944775,0.5063321489570232,2,-1.1548313891314057,-1.239612505286149,-1.010674759549994,-0.7101123695152141,-0.4030224657545299,1.1498669831465371,-0.2148902607052622,-2.396417314259341,-0.26211398776697536,-0.15531501663579192
2021-02,Alabama,37101.0,0.1260018796085211,1.1947102317189144,0.4732106166417621,0.0,-0.231950678974286,-0.237370425926358,-0.1990796089045271,0.1115636640291949,0.6432074773615915,2,-1.0388181152731215,-0.8988202819227996,-1.0035040409985982,-0.6685819255389432,0.0062283407426121,0.932786818541916,-0.2148902607052622,-1.9729578282502271,-0.5227420985272748,0.00345006845250262
2021-03,Alabama,21389.0,-0.2625783437201715,-0.1369376839916986,0.7614125906853596,0.0,-0.231950678974286,-0.237370425926358,-0.1990796089045271,0.388805652309689,0.5626925783000811,2,0.2390334435163041,-0.1865140291363143,-0.5393916076995191,0.1981962311262982,0.4008796382967181,-0.3131851746149053,-0.2148902607052622,0.1396482438539735,-0.6822271264209135,-0.1731752576437423
2021-04,Alabama,11826.0,-0.3051756797100728,-0.341053399578563,0.1514027584102009,0.0,-0.231950678974286,-0.237370425926358,-0.1990796089045271,0.2609177679463289,-0.1053416631074938,1,0.6084907733482602,0.2803450217938814,-0.245659880918491,0.5969575182491742,0.505886685923616,-0.8602538247319264,-0.2148902607052622,1.0690351429300904,-0.6469167106445014,-0.2631729866943675
2021-05,Alabama,17507.0,-0.310958123509607,-0.3636492352523856,-0.6206556544463373,0.0,-0.231950678974286,-0.237370425926358,-0.1990796089045271,-0.2034188916328795,-0.4377774480239587,1,0.4943051048989474,0.7953461079641451,-0.1323586602182863,0.7024725853902474,0.4060983051139883,-0.8218374007605541,-0.2148902607052622,1.286734044702958,-0.4058881825741434,-0.36161522779173727
2021-06,Alabama,6529.0,-0.4314257026665677,-0.4427346601107648,-0.9066315579862912,0.0,-0.231950678974286,-0.237370425926358,-0.1990796089045271,-0.1825757687205155,-0.7699738121374583,1,0.3833371205266217,0.5998232540166034,-0.2677047500307429,0.8318646966848374,0.3101606541475066,-0.4431790764861635,-0.2148902607052622,0.952236523697977,-0.408620384596479,-0.6027931752569031
2021-07,Alabama,35673.0,0.0230743799768138,-0.4352027148861572,0.0132101916855919,0.0,-0.231950678974286,-0.237370425926358,-0.1990796089045271,-0.2280168021098088,-0.7699738121374583,1,0.2543815905919049,0.7872406373174429,-0.294727681970592,0.9358169969741784,-0.214085898437241,-0.1736405687833319,-0.2148902607052622,0.7549272040539897,0.05731225559226072,-0.9549967415404416
2021-08,Alabama,102411.0,0.7832729914888992,-0.071409760537613,1.3495871651886528,0.0,-0.231950678974286,-0.237370425926358,-0.1990796089045271,0.0643073664360254,-1.0437244689465948,1,0.0094118658669123,0.7885880706334377,-0.4928867228382139,0.358363393962681,0.2683161846667543,-0.1033125240246453,-0.2148902607052622,0.4161680624170163,-0.31110629964338515,-0.39249834898088487
2021-09,Alabama,99403.0,0.4054866632526701,0.7721681046184314,-0.1855919934145886,0.0,-0.231950678974286,-0.237370425926358,-0.1990796089045271,-0.2667982650368659,-1.224873337770359,1,0.0007542893354177,0.4904571556648892,-0.3804727679311918,0.2029571718387602,0.4976025357281159,-0.3638602770732856,-0.2148902607052622,0.4350063670503412,-0.5454699028934213,-0.08659165069873462
2021-10,Alabama,44232.0,-0.239448568522035,0.5823630849583215,-0.614251403841135,0.0,-0.231950678974286,-0.237370425926358,-0.1990796089045271,-0.359140827122341,-0.9369698222053257,1,0.1726780596312978,0.4352809005800558,-0.332407502617616,0.4699500202462475,1.183039035572294,-0.8219434584059081,-0.2148902607052622,0.9919545472605529,-1.2012592336096721,0.06671560443048853
2021-11,Alabama,13298.0,-0.4038627205554551,-0.1776101882045793,-0.5263723198450861,0.0,-0.231950678974286,-0.237370425926358,-0.1990796089045271,-0.3441901094431941,-0.7456127454358011,1,0.0126334360688736,0.4253277401544011,-0.6832641058617253,0.5073560369150062,0.3415914725909407,-0.1334396917026826,-0.2148902607052622,0.2736639756866149,-0.5911811761882793,-0.5471525552868804
2021-12,Alabama,23134.0,-0.3171260635624434,-0.3576236790726996,-0.6572008003943892,0.0,-0.231950678974286,-0.237370425926358,-0.1990796089045271,-0.3471219052010418,0.0032588407921158,1,0.1214156420767513,0.6564531392220185,-0.7880604781940127,0.3063019896359998,-0.1642568362716495,0.2991942222064369,-0.2148902607052622,-0.011047747381888092,-0.031778994726008286,-0.6990251050438118
2022-01,Alabama,338223.0,0.8031260485339662,-0.0827076783745243,-0.214025580004756,0.0,-0.231950678974286,-0.237370425926358,-0.1990796089045271,-0.286831002143928,0.997038600323634,2,-0.9706372628659486,-0.4417128793133099,-1.008615259235706,-0.2397611676354877,0.5662636986243169,1.0095965227142074,-0.2148902607052622,-1.4662527108955286,-0.8990387200613926,-0.12600116059645639
